year,race,sex,age_group,population
2011,Indigenous,Male,20-24,38410
2011,Indigenous,Male,25-29,33701
2011,Indigenous,Male,30-34,28853
2011,Indigenous,Male,35-39,25036
2011,Indigenous,Male,40-44,21260
2011,Indigenous,Male,45-49,18182
2011,Indigenous,Male,50-54,14730
2011,Indigenous,Male,55-59,12142
2011,Indigenous,Male,60-64,9673
2011,Indigenous,Male,65-69,7569
2011,Indigenous,Male,70-74,5726
2011,Indigenous,Male,75-79,3720
2011,Indigenous,Male,80+,4413
2011,Indigenous,Female,0-4,50857
2011,Indigenous,Female,5-9,49982
2011,Indigenous,Female,10-14,47438
2011,Indigenous,Female,15-19,41811
2011,Indigenous,Female,20-24,36810
2011,Indigenous,Female,25-29,32802
2011,Indigenous,Female,30-34,28671
2011,Indigenous,Female,35-39,24436
2011,Indigenous,Female,40-44,20902
2011,Indigenous,Female,45-49,18346
2011,Indigenous,Female,50-54,15154
2011,Indigenous,Female,55-59,13281
2011,Indigenous,Female,60-64,10949
2011,Indigenous,Female,65-69,8731
2011,Indigenous,Female,70-74,6375
2011,Indigenous,Female,75-79,4254
2011,Indigenous,Female,80+,6127
2012,White,Male,0-4,3293551
2012,White,Male,5-9,3224870
2012,White,Male,10-14,3452247
2012,White,Male,15-19,3464996
2012,White,Male,20-24,3662042
2012,White,Male,25-29,3693651
2012,White,Male,30-34,3441157
2012,White,Male,35-39,3139469
2012,White,Male,40-44,3043742
2012,White,Male,45-49,2827052
2012,White,Male,50-54,2498161
2012,White,Male,55-59,2114489
2012,White,Male,60-64,1701732
2012,White,Male,65-69,1266502
2012,White,Male,70-74,966412
2012,White,Male,75-79,649613
2012,White,Male,80+,683003
2012,White,Female,0-4,3231932
2012,White,Female,5-9,3177434
2012,White,Female,10-14,3397256
2012,White,Female,15-19,3519912
2012,White,Female,20-24,3787991
2012,White,Female,25-29,3904669
2012,White,Female,30-34,3717151
2012,White,Female,35-39,3465169
2012,White,Female,40-44,3384313
2012,White,Female,45-49,3180749
2012,White,Female,50-54,2832861
2012,White,Female,55-59,2439541
2012,White,Female,60-64,2005391
2012,White,Female,65-69,1551696
2012,White,Female,70-74,1262084
2012,White,Female,75-79,932174
2012,White,Female,80+,1195186
2012,Black,Male,0-4,350356
2012,Black,Male,5-9,475239
2012,Black,Male,10-14,603153
2012,Black,Male,15-19,678280
2012,Black,Male,20-24,754977
2012,Black,Male,25-29,787597
2012,Black,Male,30-34,749412
2012,Black,Male,35-39,669339
2012,Black,Male,40-44,627265
2012,Black,Male,45-49,541521
2012,Black,Male,50-54,463370
2012,Black,Male,55-59,365620
2012,Black,Male,60-64,280597
2012,Black,Male,65-69,203363
2012,Black,Male,70-74,147195
2012,Black,Male,75-79,92646
2012,Black,Male,80+,95794
2012,Black,Female,0-4,321957
2012,Black,Female,5-9,425465
2012,Black,Female,10-14,536742
2012,Black,Female,15-19,600555
2012,Black,Female,20-24,671362
2012,Black,Female,25-29,699332
2012,Black,Female,30-34,661046
2012,Black,Female,35-39,591749
2012,Black,Female,40-44,562224
2012,Black,Female,45-49,505022
2012,Black,Female,50-54,454081
2012,Black,Female,55-59,376254
2012,Black,Female,60-64,301535
2012,Black,Female,65-69,227790
2012,Black,Female,70-74,175076
2012,Black,Female,75-79,118704
2012,Black,Female,80+,140500
2012,Brown,Male,0-4,3144887
2012,Brown,Male,5-9,3676725
2012,Brown,Male,10-14,4211215
2012,Brown,Male,15-19,4054765
2012,Brown,Male,20-24,3910332
2012,Brown,Male,25-29,3681289
2012,Brown,Male,30-34,3360993
2012,Brown,Male,35-39,3006490
2012,Brown,Male,40-44,2764152
2012,Brown,Male,45-49,2356893
2012,Brown,Male,50-54,1968041
2012,Brown,Male,55-59,1571900
2012,Brown,Male,60-64,1216475
2012,Brown,Male,65-69,889504
2012,Brown,Male,70-74,644356
2012,Brown,Male,75-79,401113
2012,Brown,Male,80+,412607
2012,Brown,Female,0-4,3004197
2012,Brown,Female,5-9,3498377
2012,Brown,Female,10-14,4040492
2012,Brown,Female,15-19,3910431
2012,Brown,Female,20-24,3823202
2012,Brown,Female,25-29,3725331
2012,Brown,Female,30-34,3478897
